"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 20 16:17:45 CST 2023","Fri Oct 20 16:17:46 CST 2023","468","scripts","test06_del_course_case","TestDeleteCourseCase","","","test02_delete_course_fail",""
"passed","Fri Oct 20 16:17:48 CST 2023","Fri Oct 20 16:17:48 CST 2023","422","scripts","test06_del_course_case","TestDeleteCourseCase","","","test04_delete_course_fail",""
"passed","Fri Oct 20 16:17:41 CST 2023","Fri Oct 20 16:17:44 CST 2023","2453","","pytest","","scripts.test06_del_course_case.TestDeleteCourseCase","","test02_delete_course_fail",""
"failed","Fri Oct 20 16:17:42 CST 2023","Fri Oct 20 16:17:43 CST 2023","437","scripts","test06_del_course_case","TestDeleteCourseCase","","","test01_delete_course_success",""
"passed","Fri Oct 20 16:17:41 CST 2023","Fri Oct 20 16:17:43 CST 2023","1433","","pytest","","scripts.test06_del_course_case.TestDeleteCourseCase","","test05_delete_course_fail",""
"passed","Fri Oct 20 16:17:41 CST 2023","Fri Oct 20 16:17:43 CST 2023","1422","","pytest","","scripts.test06_del_course_case.TestDeleteCourseCase","","test04_delete_course_fail",""
"failed","Fri Oct 20 16:17:47 CST 2023","Fri Oct 20 16:17:47 CST 2023","422","scripts","test06_del_course_case","TestDeleteCourseCase","","","test03_delete_course_fail",""
"failed","Fri Oct 20 16:17:41 CST 2023","Fri Oct 20 16:17:43 CST 2023","1454","","pytest","","scripts.test06_del_course_case.TestDeleteCourseCase","","test03_delete_course_fail",""
"failed","Fri Oct 20 16:17:41 CST 2023","Fri Oct 20 16:17:43 CST 2023","1461","","pytest","","scripts.test06_del_course_case.TestDeleteCourseCase","","test01_delete_course_success",""
"passed","Fri Oct 20 16:17:49 CST 2023","Fri Oct 20 16:17:50 CST 2023","422","scripts","test06_del_course_case","TestDeleteCourseCase","","","test05_delete_course_fail",""
